================ Training Loss (Sun May  4 17:31:20 2025) ================
================ Training Loss (Sun May  4 17:33:02 2025) ================
================ Training Loss (Sun May  4 17:33:35 2025) ================
================ Training Loss (Sun May  4 17:34:23 2025) ================
================ Training Loss (Sun May  4 17:34:55 2025) ================
================ Training Loss (Sun May  4 17:35:17 2025) ================
================ Training Loss (Sun May  4 17:36:29 2025) ================
================ Training Loss (Sun May  4 17:36:51 2025) ================
(epoch: 3, iters: 448, time: 0.141, data: 0.697) D_A: 0.536 G_A: 0.541 cycle_A: 1.834 idt_A: 1.450 D_B: 0.357 G_B: 0.456 cycle_B: 3.251 idt_B: 0.884 
(epoch: 6, iters: 320, time: 0.146, data: 0.012) D_A: 0.412 G_A: 0.446 cycle_A: 1.597 idt_A: 1.296 D_B: 0.290 G_B: 0.423 cycle_B: 2.708 idt_B: 0.771 
(epoch: 9, iters: 192, time: 0.160, data: 0.011) D_A: 0.331 G_A: 0.441 cycle_A: 1.583 idt_A: 1.132 D_B: 0.437 G_B: 0.611 cycle_B: 2.507 idt_B: 0.757 
(epoch: 12, iters: 64, time: 0.142, data: 0.011) D_A: 0.326 G_A: 0.449 cycle_A: 1.298 idt_A: 1.112 D_B: 0.243 G_B: 0.430 cycle_B: 2.340 idt_B: 0.653 
(epoch: 14, iters: 512, time: 0.146, data: 0.011) D_A: 0.275 G_A: 0.416 cycle_A: 1.345 idt_A: 1.045 D_B: 0.221 G_B: 0.383 cycle_B: 2.270 idt_B: 0.639 
(epoch: 17, iters: 384, time: 0.139, data: 0.012) D_A: 0.244 G_A: 0.395 cycle_A: 1.313 idt_A: 1.008 D_B: 0.479 G_B: 0.633 cycle_B: 2.062 idt_B: 0.612 
(epoch: 20, iters: 256, time: 0.143, data: 0.011) D_A: 0.238 G_A: 0.511 cycle_A: 1.640 idt_A: 1.225 D_B: 0.189 G_B: 0.479 cycle_B: 2.939 idt_B: 0.748 
(epoch: 23, iters: 128, time: 0.144, data: 0.015) D_A: 0.280 G_A: 0.416 cycle_A: 1.210 idt_A: 1.096 D_B: 0.200 G_B: 0.428 cycle_B: 2.154 idt_B: 0.578 
(epoch: 25, iters: 576, time: 0.130, data: 0.013) D_A: 0.264 G_A: 0.335 cycle_A: 2.052 idt_A: 1.113 D_B: 0.213 G_B: 0.393 cycle_B: 2.326 idt_B: 0.683 
(epoch: 28, iters: 448, time: 0.147, data: 0.857) D_A: 0.243 G_A: 0.461 cycle_A: 1.216 idt_A: 1.017 D_B: 0.269 G_B: 0.498 cycle_B: 2.030 idt_B: 0.549 
(epoch: 31, iters: 320, time: 0.142, data: 0.011) D_A: 0.250 G_A: 0.418 cycle_A: 1.252 idt_A: 0.897 D_B: 0.200 G_B: 0.422 cycle_B: 1.954 idt_B: 0.582 
(epoch: 34, iters: 192, time: 0.142, data: 0.011) D_A: 0.262 G_A: 0.419 cycle_A: 1.258 idt_A: 0.994 D_B: 0.204 G_B: 0.445 cycle_B: 2.195 idt_B: 0.572 
(epoch: 37, iters: 64, time: 0.146, data: 0.012) D_A: 0.218 G_A: 0.413 cycle_A: 1.025 idt_A: 0.898 D_B: 0.401 G_B: 0.611 cycle_B: 1.850 idt_B: 0.505 
(epoch: 39, iters: 512, time: 0.151, data: 0.011) D_A: 0.229 G_A: 0.366 cycle_A: 1.138 idt_A: 0.942 D_B: 0.202 G_B: 0.453 cycle_B: 2.020 idt_B: 0.528 
(epoch: 42, iters: 384, time: 0.143, data: 0.022) D_A: 0.259 G_A: 0.437 cycle_A: 1.342 idt_A: 0.958 D_B: 0.275 G_B: 0.519 cycle_B: 2.010 idt_B: 0.608 
(epoch: 45, iters: 256, time: 0.160, data: 0.011) D_A: 0.247 G_A: 0.320 cycle_A: 1.017 idt_A: 0.879 D_B: 0.214 G_B: 0.427 cycle_B: 1.779 idt_B: 0.479 
(epoch: 48, iters: 128, time: 0.147, data: 0.012) D_A: 0.227 G_A: 0.386 cycle_A: 1.277 idt_A: 0.904 D_B: 0.259 G_B: 0.471 cycle_B: 1.961 idt_B: 0.546 
